TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Link
Toyota Prius  2019 S Touring Selection for Sale,PKR 75                                   lacs,2019,"85,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2019-for-sale-in-islamabad-7666933
Toyota Prius  2019 S Touring Selection for Sale,PKR 85                                   lacs,2019,"38,223 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2019-for-sale-in-islamabad-9290474
Toyota Prius  2007 G Touring Selection 1.5 for Sale,PKR 29.5                                   lacs,2007,"117,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2007-for-sale-in-islamabad-9269638
Toyota Prius  2011 S LED Edition 1.8 for Sale,PKR 44                                   lacs,2011,"137,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-islamabad-9299785
Toyota Prius  2014 G Touring Selection Leather Package 1.8 for Sale,PKR 49                                   lacs,2014,"105,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-islamabad-8475421
Toyota Prius  2020 A for Sale,PKR 98                                   lacs,2020,"39,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2020-for-sale-in-islamabad-8686431
Toyota Prius  2016 S for Sale,PKR 53                                   lacs,2016,"87,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2016-for-sale-in-islamabad-9241624
Toyota Prius  2012 S 1.8 for Sale,PKR 42                                   lacs,2012,"200,443 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2012-for-sale-in-islamabad-9291356
Toyota Prius  2011 S Touring Selection 1.8 for Sale,PKR 42.5                                   lacs,2011,"95,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-islamabad-9297898
Toyota Aqua  2018 X Urban Solid for Sale,PKR 54.5                                   lacs,2018,"78,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-islamabad-9297892
Toyota Prius  2020 S for Sale,Call,2020,"82,283 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2020-for-sale-in-islamabad-8505833
Toyota Prius  2008 S Touring Selection 1.5 for Sale,PKR 29.25                                   lacs,2008,"199,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2008-for-sale-in-islamabad-9266330
Toyota Prius  2013 S LED Edition 1.8 for Sale,PKR 44                                   lacs,2013,"120,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2013-for-sale-in-islamabad-9303366
Toyota Prius  2013 S LED Edition 1.8 for Sale,PKR 50                                   lacs,2013,"200,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2013-for-sale-in-islamabad-9303309
Toyota Prius  2011 G Touring Selection 1.8 for Sale,PKR 38.5                                   lacs,2011,"146,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-islamabad-9302172
Toyota Prius  2011 G LED Edition 1.8 for Sale,PKR 40.5                                   lacs,2011,"114,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-islamabad-9299893
Toyota Prius  2007 G 1.5 for Sale,PKR 28                                   lacs,2007,"130,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2007-for-sale-in-islamabad-9189619
Toyota Prius  2007 G Touring Selection 1.5 for Sale,PKR 27.85                                   lacs,2007,"165,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2007-for-sale-in-islamabad-8939208
Toyota Prius Alpha  2013 G for Sale,PKR 53                                   lacs,2013,"170,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-alpha-2013-for-sale-in-islamabad-9208349
Toyota Prius  2010 S Touring Selection 1.8 for Sale,PKR 36.75                                   lacs,2010,"230,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2010-for-sale-in-islamabad-9297099
Toyota Prius  2014 S LED Edition 1.8 for Sale,PKR 48                                   lacs,2014,"168,700 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-islamabad-9134054
Toyota Prius  2014 G LED Edition 1.8 for Sale,PKR 54.9                                   lacs,2014,"98,500 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-islamabad-9297689
Toyota Prius  2018 S for Sale,PKR 70                                   lacs,2018,"110,800 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2018-for-sale-in-islamabad-9174046
Mercedes Benz E Class 3rd (W211) Generation 2005 E200 for Sale,PKR 60                                   lacs,2005,"110,000 km",Petrol,1800 cc,Automatic,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2005-for-sale-in-islamabad-9296702
Toyota Prius  2011 G LED Edition 1.8 for Sale,PKR 40                                   lacs,2011,"180,000 km",Hybrid,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-islamabad-9296363
